[2025-05-08 12:13:02]  1, pdu_to_send=52, status=NEW, ackedNo=22
[2025-05-08 12:13:02]  1, pdu_to_send=53, status=NEW, ackedNo=23
[2025-05-08 12:13:02]  1, pdu_to_send=54, status=NEW, ackedNo=24
[2025-05-08 12:13:02]  1, pdu_to_send=55, status=NEW, ackedNo=25
[2025-05-08 12:13:02]  1, pdu_to_send=56, status=NEW, ackedNo=26
[2025-05-08 12:13:02]  1, pdu_to_send=57, status=NEW, ackedNo=27
[2025-05-08 12:13:02]  1, pdu_to_send=58, status=NEW, ackedNo=28
[2025-05-08 12:13:02]  9, pdu_to_send=29, status=TO , ackedNo=28
[2025-05-08 12:13:02]  9, pdu_to_send=30, status=RT , ackedNo=28
[2025-05-08 12:13:02]  9, pdu_to_send=31, status=RT , ackedNo=28
[2025-05-08 12:13:02]  9, pdu_to_send=32, status=RT , ackedNo=28
[2025-05-08 12:13:02]  9, pdu_to_send=33, status=RT , ackedNo=28
[2025-05-08 12:13:02]  9, pdu_to_send=34, status=RT , ackedNo=28
[2025-05-08 12:13:02]  6, pdu_to_send=35, status=RT , ackedNo=28
[2025-05-08 12:13:02]  5, pdu_to_send=36, status=RT , ackedNo=28
[2025-05-08 12:13:02]  5, pdu_to_send=37, status=RT , ackedNo=28
[2025-05-08 12:13:02]  5, pdu_to_send=38, status=RT , ackedNo=28
[2025-05-08 12:13:02]  5, pdu_to_send=39, status=RT , ackedNo=28
[2025-05-08 12:13:02]  5, pdu_to_send=40, status=RT , ackedNo=28
[2025-05-08 12:13:02]  5, pdu_to_send=41, status=RT , ackedNo=28
[2025-05-08 12:13:02]  5, pdu_to_send=42, status=RT , ackedNo=28
[2025-05-08 12:13:02]  5, pdu_to_send=43, status=RT , ackedNo=28
[2025-05-08 12:13:02]  5, pdu_to_send=44, status=RT , ackedNo=28
[2025-05-08 12:13:02]  3, pdu_to_send=45, status=RT , ackedNo=28
[2025-05-08 12:13:02]  3, pdu_to_send=46, status=RT , ackedNo=28
[2025-05-08 12:13:02]  3, pdu_to_send=47, status=RT , ackedNo=28
[2025-05-08 12:13:02]  3, pdu_to_send=48, status=RT , ackedNo=28
[2025-05-08 12:13:02]  3, pdu_to_send=49, status=RT , ackedNo=28
[2025-05-08 12:13:02]  3, pdu_to_send=50, status=RT , ackedNo=28
[2025-05-08 12:13:02]  2, pdu_to_send=51, status=RT , ackedNo=28
[2025-05-08 12:13:02]  2, pdu_to_send=52, status=RT , ackedNo=28
[2025-05-08 12:13:02]  2, pdu_to_send=53, status=RT , ackedNo=28
[2025-05-08 12:13:02]  2, pdu_to_send=54, status=RT , ackedNo=28
[2025-05-08 12:13:02]  2, pdu_to_send=55, status=RT , ackedNo=28
[2025-05-08 12:13:02]  2, pdu_to_send=56, status=RT , ackedNo=28
[2025-05-08 12:13:02]  2, pdu_to_send=57, status=RT , ackedNo=28
[2025-05-08 12:13:02]  2, pdu_to_send=58, status=RT , ackedNo=28
